id,name,title,company,seniority,industry,session_topic,relevance_score,final_route,outreach_sequence,account_priority_score,persona_summary,context_summary,personalization_themes,recommended_hook,make_status,last_run_at,error_message
1,Shradha Sharma,Founder & CEO,YourStory & The Bharat Project,C-Suite / Founder,other_tech,The AI founder DNA: What it takes to build in the AI era,35,AE,STANDARD_ABM_POST_EVENT,82,,,,,PENDING,,
2,Sangeeta Bavi,COO,YourStory,C-Suite / Founder,marketplace,India's next-gen tech stack: Engineering intelligence for a billion users,82,Senior AE,VIP_SEQUENCE_POST_EVENT,112,,,,,PENDING,,
3,Madanmohan Rao,Research Director,YourStory,Director / Head,venture_capital,Intelligence in motion: Building AI-ready businesses,70,Senior AE,PARTNERSHIP_SEQUENCE,107,,,,,PENDING,,
4,Shivani Muthanna,Senior Director - Strategic Partnership and Content,YourStory,Director / Head,venture_capital,The resilience playbook: Scaling in India’s lending landscape,70,Senior AE,VIP_SEQUENCE_POST_EVENT,95,,,,,PENDING,,
6,Abhishek Poddar,Co-founder & CEO,Plum,C-Suite / Founder,fintech,Assited to autonomous: AI and the future of fintech,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
7,Aditya Soni,Founder & CEO,CheQ,C-Suite / Founder,other_tech,CheQ Wisor — India’s first AI credit card expert,35,AE,STANDARD_ABM_POST_EVENT,54,,,,,PENDING,,
8,Amrit Acharya,Co-founder & CEO,Zetwerk,C-Suite / Founder,saas_b2b,The energy cost of intelligence: How AI is reshaping global power demand,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
10,Hemant Gala,CEO,PhonePe Lending,C-Suite / Founder,fintech,The resilience playbook: Scaling in India’s lending landscape,95,Senior AE,VIP_SEQUENCE_POST_EVENT,114,,,,,PENDING,,
11,Madhusudhan Rao,CTO,Swiggy,C-Suite / Founder,foodtech,Intelligence in motion: Building AI-ready businesses,68,AE,STANDARD_ABM_POST_EVENT,97,,,,,PENDING,,
12,Mohit Saxena,Co-founder & CTO,Inmobi,C-Suite / Founder,saas_b2b,India's next-gen tech stack: Engineering intelligence for a billion users,95,Senior AE,VIP_SEQUENCE_POST_EVENT,117,,,,,PENDING,,
13,Noi Cecilia Oldne,Investor & Chief India Representative,Sweden-India Business Council,Unclassified → Manual Review,other_tech,The borderless blueprint: Sweden and India’s innovation alliance,35,Senior AE,VIP_SEQUENCE_POST_EVENT,91,,,,,PENDING,,
15,Ronnie Screwvala,Co-founder,upGrad & Swades Foundation,C-Suite / Founder,saas_b2b,Building the next big thing: How to win in India’s AI and deep tech decade,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
16,Sandeep Alur,CTO,"Microsoft Innovation Hub, Microsoft India",C-Suite / Founder,ai_tech,Making AI real: Where creativity meets intelligence and scale,75,Senior AE,VIP_SEQUENCE_POST_EVENT,97,,,,,PENDING,,
17,Sandeep Jethwani,Co-founder,Dezerv,C-Suite / Founder,fintech,Assited to autonomous: AI and the future of fintech,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
18,Sanjay Mohan,Group Chief Technology Officer,MakeMyTrip,C-Suite / Founder,marketplace,India's next-gen tech stack: Engineering intelligence for a billion users,82,Senior AE,VIP_SEQUENCE_POST_EVENT,100,,,,,PENDING,,
19,Sanjay Tripathy,Co-founder & CEO,BRISKPE,C-Suite / Founder,saas_b2b,Assited to autonomous: AI and the future of fintech,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
20,Srinath Ramakkrushnan,Co-founder & COO,Zetwerk,C-Suite / Founder,saas_b2b,The energy cost of intelligence: How AI is reshaping global power demand,95,Senior AE,VIP_SEQUENCE_POST_EVENT,105,,,,,PENDING,,
21,Takahisa Ohira,Head of Asia Region,Deloitte Tohmatsu Venture Support,Director / Head,venture_capital,The global career code: Why Japan is betting on Indian minds,70,Senior AE,VIP_SEQUENCE_POST_EVENT,95,,,,,PENDING,,
22,Vishal Gupta,CEO,PhonePe Insurance,C-Suite / Founder,fintech,Insurtech for all: Reimagining India’s insurance future,95,Senior AE,VIP_SEQUENCE_POST_EVENT,114,,,,,PENDING,,
23,Abilash Narahari,VP - Head of Technology & Digital Natives,QualityKiosk Technologies,VP,saas_b2b,Intelligence at speed: How cloud-native AI is redefining agility in business,85,AE,STANDARD_ABM_POST_EVENT,93,,,,,PENDING,,
25,Adithyan RK,Co-founder & CEO,Hyring Inc,C-Suite / Founder,hrtech,"Fair, fast, and human: Reimagining recruitment with AI agents",52,AE,STANDARD_ABM_POST_EVENT,61,,,,,PENDING,,
26,Aditya Ruia,Co-founder,BECO,C-Suite / Founder,other_tech,TechSparks 2024 Speaker Program,35,AE,STANDARD_ABM_POST_EVENT,54,,,,,PENDING,,
27,Adrian Schmidt,Co-founder & CEO,Sarla Aviation,C-Suite / Founder,logistics,Deepening India's deeptech vision with robotics in real-world systems,68,AE,STANDARD_ABM_POST_EVENT,94,,,,,PENDING,,
28,Ajeesh Achuthan,Co-founder & CTO,Open Financial Technologies,C-Suite / Founder,fintech,TechSparks 2024 Speaker Program,95,Senior AE,VIP_SEQUENCE_POST_EVENT,114,,,,,PENDING,,
30,Akis Evangelidis,Co-founder & India President,Nothing,C-Suite / Founder,other_tech,"AI, Access, Ambition: How India Builds the Future of Global Apps",35,AE,STANDARD_ABM_POST_EVENT,54,,,,,PENDING,,
